city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,31,18,30,0.6,13,48,49,6
阿克苏地区,113,48,173,1.0,34,36,29,6
阿拉善盟,78,29,104,0.5,9,110,114,12
阿勒泰地区,21,11,19,0.45,19,41,40,4
阿里地区,30,21,21,0.7,49,26,36,19
安康,54,32,56,0.8,25,24,22,16
安庆,42,15,23,0.64,21,79,82,8
鞍山,64,35,76,0.59,21,92,93,14
安顺,46,32,45,0.83,28,49,51,42
安阳,100,74,148,1.06,44,44,43,20
白城,61,28,69,0.3,0,70,49,12
百色,39,20,38,0.9,20,16,17,19
白山,84,50,115,0.8,12,100,30,11
白银,83,55,113,0.9,42,40,32,58
保定,142,108,201,1.07,59,39,26,39
宝鸡,57,26,61,0.96,32,45,24,23
保山,58,35,63,0.9,32,47,64,9
包头,88,65,101,1.55,62,37,13,67
巴彦淖尔,58,29,64,0.7,15,84,78,11
巴中,33,23,32,0.55,16,17,17,4
北海,17,11,16,1.0,17,13,14,6
北京,122,92,140,0.95,76,24,13,11
蚌埠,113,84,147,0.92,44,72,74,20
本溪,64,30,76,1.2,23,80,70,20
毕节,35,22,34,0.85,37,28,39,11
滨州,81,59,109,1.23,45,93,46,25
博州,65,46,76,0.65,41,21,32,10
亳州,114,85,129,0.65,30,65,52,11
沧州,113,84,146,0.83,43,64,53,28
长春,158,40,264,0.86,23,84,83,10
常德,49,34,41,1.12,24,21,14,12
昌都,24,15,17,0.5,13,44,46,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,45,31,41,1.73,40,37,30,6
长沙,70,50,44,0.92,31,38,20,6
常熟,29,6,17,0.35,30,87,57,13
长治,68,45,83,1.24,41,90,86,19
常州,77,56,93,0.94,44,47,26,15
朝阳,92,68,114,1.43,28,116,91,24
潮州,66,47,0,1.05,25,67,65,17
承德,91,52,129,1.1,54,54,35,26
成都,80,58,97,0.98,56,27,23,7
郴州,35,21,34,1.02,28,18,22,8
赤峰,89,58,125,0.7,41,92,77,14
池州,64,45,46,0.77,31,101,91,6
重庆,75,54,92,0.97,51,18,15,9
崇左,12,8,0,0.8,18,14,19,2
楚雄州,75,50,98,1.35,53,33,33,30
滁州,149,114,175,1.08,65,53,39,18
大连,45,18,44,0.51,24,77,67,9
大理州,52,34,51,0.7,23,73,78,7
丹东,44,23,43,0.75,12,79,58,17
大庆,54,25,56,0.38,14,70,47,7
大同,91,65,130,2.0,59,31,12,56
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,33,17,32,0.5,9,91,57,15
达州,58,40,58,0.8,28,6,4,6
德宏州,70,50,86,1.2,40,26,17,26
德阳,67,48,72,0.9,38,30,18,6
德州,103,71,154,0.93,33,70,51,16
定西,78,37,103,1.0,41,25,28,29
迪庆州,55,38,51,1.15,26,64,68,13
东莞,67,48,64,0.88,55,52,59,15
东营,84,49,116,0.95,39,70,41,28
鄂尔多斯,55,22,58,0.76,23,85,73,15
恩施州,62,39,71,0.85,19,9,4,3
鄂州,54,36,56,0.83,48,32,49,7
防城港,24,15,23,0.83,20,12,18,4
佛山,91,67,118,1.11,60,14,15,18
抚顺,69,37,86,0.72,24,90,81,18
阜新,86,63,98,0.9,32,72,58,47
阜阳,80,58,107,0.5,42,66,67,3
富阳,0,0,0,0.0,0,0,0,0
福州,46,32,29,0.7,30,52,59,4
抚州,69,49,65,0.9,16,20,15,14
甘南州,119,66,186,0.8,34,41,23,76
赣州,35,24,34,1.24,31,18,34,6
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,53,15,53,0.55,31,34,41,25
广安,56,35,60,0.88,29,19,10,20
广元,50,35,46,0.83,35,13,8,9
广州,82,58,111,1.06,67,13,16,10
贵港,13,9,12,0.85,16,11,13,7
桂林,30,21,28,0.98,36,23,32,9
贵阳,77,54,101,0.97,39,31,22,37
果洛州,60,31,67,2.0,44,36,48,149
固原,52,26,52,0.7,27,74,59,9
哈尔滨,107,39,162,0.87,21,68,63,13
海北州,35,10,32,0.4,12,83,68,12
海东地区,85,54,118,1.5,48,29,21,23
海口,40,17,39,0.57,16,40,42,4
海门,54,31,55,0.45,25,56,62,9
海南州,57,28,62,0.7,12,84,47,10
海西州,57,18,62,0.4,17,90,92,6
哈密地区,123,40,194,1.4,30,51,30,15
邯郸,96,66,140,0.95,35,44,47,23
杭州,48,27,47,0.73,41,68,42,9
汉中,54,22,55,1.35,24,25,11,21
鹤壁,86,62,120,0.63,51,38,45,19
河池,22,13,21,0.7,20,13,12,7
合肥,61,38,70,0.68,38,91,75,5
鹤岗,58,26,63,0.48,15,75,56,18
黑河,51,14,50,0.47,11,97,72,12
衡水,105,78,144,0.77,27,70,62,18
衡阳,54,37,46,1.05,35,28,23,9
和田地区,121,75,190,1.35,61,20,29,28
河源,69,49,65,1.07,24,25,15,8
菏泽,111,81,169,0.87,26,68,67,18
贺州,26,18,19,0.65,19,21,25,6
红河州,97,72,105,1.07,34,67,77,20
淮安,104,77,114,0.8,35,76,70,14
淮北,126,95,142,0.9,38,80,67,20
怀化,57,35,61,0.96,31,28,12,21
淮南,158,120,202,0.77,35,69,55,13
黄冈,53,33,53,0.9,19,58,70,4
黄南州,87,36,122,1.5,15,68,66,18
黄山,48,33,41,0.47,15,88,61,6
黄石,70,50,84,1.02,32,49,47,7
呼和浩特,95,64,138,1.2,54,35,12,31
惠州,53,26,54,0.6,30,83,91,8
葫芦岛,68,47,83,1.0,35,48,48,24
呼伦贝尔,34,19,33,0.4,11,72,59,5
湖州,81,49,109,0.79,55,68,50,17
佳木斯,55,32,57,0.73,13,85,77,10
吉安,55,37,57,0.7,28,26,35,14
江门,57,32,61,0.73,25,83,78,6
江阴,130,98,136,0.73,51,48,37,15
胶南,44,13,43,0.6,2,85,85,3
胶州,61,27,69,0.4,26,100,84,10
焦作,91,64,130,0.82,42,78,65,24
嘉兴,40,7,14,0.6,25,85,79,4
嘉峪关,71,23,89,0.4,21,69,67,5
揭阳,76,55,0,1.03,37,59,70,14
吉林,59,27,66,0.61,14,104,96,10
即墨,65,12,77,0.6,0,106,100,0
济南,102,64,151,0.69,42,111,107,19
金昌,130,52,208,1.53,61,60,76,58
晋城,106,68,160,1.68,75,43,39,27
景德镇,47,31,46,0.3,14,46,42,11
荆门,130,98,118,1.0,28,21,22,8
荆州,60,40,67,0.83,22,28,29,14
金华,65,46,63,0.53,35,82,93,11
济宁,138,105,124,1.15,35,70,54,23
金坛,105,78,127,1.05,44,44,52,16
晋中,119,74,185,2.1,71,31,15,80
锦州,75,51,98,1.0,40,49,41,47
九江,48,29,47,0.34,22,49,53,5
酒泉,83,31,113,0.7,27,57,61,24
鸡西,48,18,47,0.68,13,76,44,8
句容,170,128,202,1.15,36,46,54,184
开封,74,52,95,0.87,29,74,53,17
喀什地区,145,91,238,1.3,55,20,10,10
克拉玛依,67,39,81,1.0,27,53,56,4
克州,131,40,209,0.2,15,67,68,6
库尔勒,155,56,258,0.87,72,20,36,10
昆明,69,40,86,1.08,46,64,45,20
昆山,39,9,0,0.5,29,86,76,6
来宾,25,17,0,0.7,24,27,21,7
莱芜,88,65,99,0.67,18,89,77,10
莱西,77,39,101,0.55,20,81,65,9
莱州,56,14,60,0.9,21,89,81,11
廊坊,106,79,152,1.02,41,54,44,16
兰州,77,43,102,1.53,57,39,34,37
拉萨,39,15,34,0.52,28,67,76,4
乐山,60,42,56,0.96,30,34,22,5
凉山州,56,32,59,0.93,32,47,54,21
连云港,56,28,59,0.84,33,82,87,14
聊城,111,73,169,0.87,34,67,57,19
辽阳,58,31,64,0.57,18,80,77,15
辽源,101,29,75,0.8,10,0,160,11
丽江,42,17,41,0.7,10,82,81,6
临安,0,0,0,0.0,0,0,0,0
临沧,75,51,97,1.1,33,49,51,21
临汾,88,65,102,1.66,45,61,39,25
临夏州,62,27,72,1.85,38,33,29,18
临沂,97,72,130,0.93,43,56,51,25
林芝,36,7,12,0.25,13,68,71,1
林芝地区,18,4,16,0.35,6,51,35,3
丽水,50,33,49,0.67,42,47,80,6
六盘水,43,25,42,0.66,22,24,41,15
柳州,65,46,61,0.92,29,27,22,13
溧阳,87,64,98,1.05,30,90,58,11
陇南,46,22,45,0.85,27,38,32,16
龙岩,78,57,67,1.07,32,20,26,12
娄底,53,33,53,1.08,28,24,20,13
六安,54,27,55,0.55,51,47,64,9
漯河,66,34,80,0.4,15,90,75,8
洛阳,142,108,197,0.96,60,29,13,15
泸州,87,64,80,0.75,35,14,5,18
吕梁,90,50,128,1.7,64,12,4,70
马鞍山,126,95,130,1.1,53,49,72,15
茂名,58,35,63,0.73,17,77,81,4
眉山,62,32,72,0.95,50,15,11,11
梅州,61,43,45,0.87,24,63,39,7
绵阳,60,42,59,0.75,29,12,5,5
牡丹江,106,23,160,0.55,14,92,80,4
南昌,67,45,82,0.8,24,46,25,22
南充,54,33,56,0.8,18,14,11,6
南京,161,122,176,1.0,69,43,54,18
南宁,17,10,16,0.8,25,11,8,9
南平,36,25,24,0.85,16,66,59,6
南通,48,31,47,0.44,44,66,76,13
南阳,99,74,104,0.9,28,51,31,8
那曲地区,99,74,145,1.1,11,50,46,6
内江,64,45,68,0.83,38,18,7,15
宁波,43,24,38,0.8,33,100,84,6
宁德,45,31,0,0.83,26,60,43,6
怒江州,60,28,68,0.85,19,34,46,7
盘锦,63,31,74,0.65,19,81,70,13
攀枝花,71,50,90,1.5,71,26,25,31
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,63,44,67,0.63,19,102,70,14
平度,64,25,75,0.7,24,81,73,10
